TimeStamp,User,Message
"['18/10/16, 20:13']",['- Fruit'],[': Not like that da']
"['18/10/16, 20:13']",['- Fruit'],[': U have to give password anything not only no']
"['18/10/16, 20:14']",['- Jagannath'],[': That you work on']
"['18/10/16, 20:14']",['- Fruit'],[': In lab we did no']
"['18/10/16, 20:14']",['- Fruit'],[': That day']
"['18/10/16, 20:14']",['- Fruit'],[': And it worked also']
"['18/10/16, 20:14']",['- Jagannath'],[': \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94']
"['18/10/16, 20:14']",['- Fruit'],[': Converting even spaces we did']
"['18/10/16, 20:14']",['- Jagannath'],[': Yeah']
"['18/10/16, 20:14']",['- Fruit'],[': We added all ASCII values']
"['18/10/16, 20:14']",['- Jagannath'],[': On my laptop?']
"['18/10/16, 20:14']",['- Fruit'],[': And got a unique code I thing']
"['18/10/16, 20:15']",['- Fruit'],[': Ya I guess']
"['18/10/16, 20:15']",['- Fruit'],[': In u r lappy only']
"['18/10/16, 20:15']",['- Jagannath'],[': Let me check']
"['19/10/16, 22:03']",['- Fruit'],[': Jaggu']
"['19/10/16, 22:03']",['- Jagannath'],[': Cheppu']
"['19/10/16, 22:03']",['- Fruit'],[': Comnunicando has any thing tomorrow?']
"['19/10/16, 22:04']",['- Jagannath'],[': Yup']
"['19/10/16, 22:04']",['- Jagannath'],[': Second half']
"['19/10/16, 22:04']",['- Fruit'],[': Competition?']
"['19/10/16, 22:04']",['- Fruit'],[': What they have ?']
"['19/10/16, 22:04']",['- Jagannath'],[': Wordsera']
"['19/10/16, 22:04']",['- Jagannath'],[': Some puzzle game']
"['19/10/16, 22:07']",['- Fruit'],[': Ohh anyone can come??']
"['19/10/16, 22:07']",['- Jagannath'],[': Juniors event ra']
"['19/10/16, 22:08']",['- Fruit'],[': Ohh']
"['19/10/16, 22:08']",['- Fruit'],[': Like freeze frame?']
"['19/10/16, 22:08']",['- Jagannath'],[': Yup']
"['19/10/16, 22:08']",['- Jagannath'],[': Exactly']
"['19/10/16, 22:08']",['- Fruit'],[': Ohh cool']
"['19/10/16, 22:08']",['- Jagannath'],[': Winner get free entry to communicando']
"['19/10/16, 22:08']",['- Fruit'],[': Entry aa\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1']
"['19/10/16, 22:09']",['- Jagannath'],[': Ade le']
"['19/10/16, 22:09']",['- Fruit'],[': Gd undadu gaa general ga']
"['19/10/16, 22:09']",['- Jagannath'],[': We have to go via interview']
"['19/10/16, 22:09']",['- Jagannath'],"["": They won't have interview""]"
"['19/10/16, 22:09']",['- Fruit'],[': Haaa']
"['19/10/16, 22:09']",['- Fruit'],[': Ohh']
"['22/10/16, 18:38']",['- Fruit'],[': Yo broo']
"['22/10/16, 18:43']",['- Jagannath'],[': Hi']
"['22/10/16, 18:50']",['- Fruit'],[': Sup yo']
"['22/10/16, 22:53']",['- Jagannath'],[': Sup']
"['22/10/16, 23:07']",['- Fruit'],[': Yoo']
"['22/10/16, 23:09']",['- Fruit'],[': Yoo?']
"['22/10/16, 23:09']",['- Jagannath'],[': Call from jio']
"['22/10/16, 23:09']",['- Jagannath'],"["": Can't heat anything""]"
"['22/10/16, 23:10']",['- Fruit'],[': Jio offline']
"['22/10/16, 23:10']",['- Fruit'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['23/10/16, 14:30']",['- Jagannath'],[': <Media omitted>']
"['23/10/16, 14:30']",['- Jagannath'],[': My phone cover \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['23/10/16, 14:31']",['- Fruit'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['23/10/16, 18:51']",['- Jagannath'],[': Sup']
"['23/10/16, 18:51']",['- Jagannath'],[': Did anything for mini project?']
"['23/10/16, 18:52']",['- Fruit'],[': Fever full']
"['23/10/16, 18:52']",['- Jagannath'],[': Wtf ayya']
"['23/10/16, 18:52']",['- Fruit'],[': Jus got out of bed']
"['23/10/16, 18:52']",['- Fruit'],[': Will try something now']
"['23/10/16, 18:52']",['- Jagannath'],[': Ok']
"['23/10/16, 18:52']",['- Fruit'],[': U?']
"['23/10/16, 18:53']",['- Jagannath'],[': Going to bus stop']
"['23/10/16, 18:53']",['- Jagannath'],[': We came 7th']
"['23/10/16, 18:54']",['- Fruit'],[': In ?']
"['23/10/16, 19:12']",['- Jagannath'],[': The quiz']
"['23/10/16, 19:15']",['- Fruit'],[': I mean out of how many teams?']
"['23/10/16, 19:17']",['- Jagannath'],[': 24 from south India']
"['23/10/16, 19:19']",['- Fruit'],[': Yeyyy']
"['23/10/16, 19:19']",['- Fruit'],[': So next to Delhi ??']
"['23/10/16, 19:21']",['- Jagannath'],[': No bro']
"['23/10/16, 19:21']",['- Jagannath'],[': Only top 2 \xe2\x98\xb9']
"['23/10/16, 19:21']",['- Fruit'],[': Ayyooo']
"['23/10/16, 19:21']",['- Fruit'],[': Arey']
"['23/10/16, 19:22']",['- Fruit'],[': Tuesday we will bunk off']
"['23/10/16, 19:22']",['- Fruit'],[': ??']
"['23/10/16, 19:22']",['- Fruit'],[': Full day']
"['23/10/16, 19:22']",['- Jagannath'],[': Thinking the same']
"['23/10/16, 19:22']",['- Fruit'],[': And do mini project']
"['23/10/16, 19:22']",['- Fruit'],[': In colg we will ask mam']
"['23/10/16, 19:58']",['- Jagannath'],[': Ok']
"['24/10/16, 22:29']",['- Fruit'],[': Bro']
"['24/10/16, 22:29']",['- Fruit'],[': Chandu got 9.1']
"['24/10/16, 22:29']",['- Jagannath'],[': Yeah']
"['24/10/16, 22:29']",['- Jagannath'],[': Saw']
"['24/10/16, 22:29']",['- Jagannath'],[': Nice']
"['24/10/16, 22:30']",['- Jagannath'],[': Yours also increased']
"['24/10/16, 22:30']",['- Fruit'],[': Reval results crazz']
"['24/10/16, 22:30']",['- Fruit'],[': Ya only 1']
"['24/10/16, 22:30']",['- Jagannath'],[': Mine no increase :(']
"['24/10/16, 22:30']",['- Fruit'],[': Ayyoo']
"['24/10/16, 22:30']",['- Fruit'],[': Y?']
"['24/10/16, 22:30']",['- Jagannath'],[': Dono']
"['24/10/16, 22:30']",['- Jagannath'],[': Cheating xP']
"['24/10/16, 22:30']",['- Fruit'],[': Abhi this time also 3 sub fail 3 pass again']
"['24/10/16, 22:31']",['- Jagannath'],[': Ayya']
"['24/10/16, 22:46']",['- Fruit'],[': Ayya']
"['24/10/16, 22:46']",['- Fruit'],[': Kadu']
"['24/10/16, 22:46']",['- Fruit'],[': Ippudu anni pass vadu']
"['24/10/16, 22:53']",['- Jagannath'],[': Oh okay']
"['24/10/16, 22:55']",['- Fruit'],[': Hmm']
"['25/10/16, 22:27']",['- Fruit'],[': Broo']
"['25/10/16, 22:27']",['- Fruit'],[': Rsa encryption vaddama oddaa??']
"['25/10/16, 22:27']",['- Jagannath'],[': did you do?']
"['25/10/16, 22:27']",['- Fruit'],[': Modular exponential over']
"['25/10/16, 22:27']",['- Fruit'],[': Rsa is kinda hard']
"['25/10/16, 22:27']",['- Fruit'],[': Time lagta']
"['25/10/16, 22:29']",['- Jagannath'],[': lite']
"['25/10/16, 22:29']",['- Jagannath'],[': your wish']
"['25/10/16, 22:29']",['- Jagannath'],"["": i'm working on report""]"
"['25/10/16, 22:34']",['- Fruit'],[': Hmm']
"['25/10/16, 22:51']",['- Jagannath'],[': <Media omitted>']
"['25/10/16, 22:59']",['- Fruit'],[': Setttt']
"['25/10/16, 23:05']",['- Jagannath'],[': <Media omitted>']
"['25/10/16, 23:06']",['- Fruit'],[': Naughty \xf0\x9f\x98\x82']
"['25/10/16, 23:06']",['- Jagannath'],[': Saw it?']
"['25/10/16, 23:08']",['- Fruit'],[': No']
"['25/10/16, 23:08']",['- Fruit'],[': Some cat came in between']
"['25/10/16, 23:08']",['- Jagannath'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['25/10/16, 23:18']",['- Fruit'],[': <Media omitted>']
"['25/10/16, 23:18']",['- Fruit'],[': ...ash ento telvad']
"['25/10/16, 23:19']",['- Jagannath'],[': So true']
"['25/10/16, 23:19']",['- Jagannath'],[': Not really \xf0\x9f\xa4\x94']
"['25/10/16, 23:19']",['- Fruit'],[': Not really aa']
"['25/10/16, 23:19']",['- Fruit'],[': Soo fucking truee']
"['25/10/16, 23:20']",['- Fruit'],[': I hate hmm actually but I love it a lot to use it daily']
"['25/10/16, 23:20']",['- Fruit'],[': \xf0\x9f\x98\x82']
"['25/10/16, 23:20']",['- Jagannath'],[': <Media omitted>']
"['26/10/16, 18:33']",['- Jagannath'],[': https://docs.google.com/document/d/1BUatNh0Az76o7DeauA3OlRa8nmo4jhkY7jDhAZmvznk/edit?usp=sharing']
"['26/10/16, 18:33']",['- Jagannath'],[': include our both names and add this']
"['26/10/16, 18:33']",['- Jagannath'],[': i mailed the screenshot']
"['26/10/16, 18:33']",['- Jagannath'],[': do these and spiral bind it without fail']
"['26/10/16, 18:33']",['- Jagannath'],[': by tomorrow']
"['26/10/16, 20:31']",['- Fruit'],[': Vokayyy']
"['26/10/16, 20:35']",['- Fruit'],[': Inka em Anna matter rayala lite aa??']
"['26/10/16, 20:36']",['- Jagannath'],[': do whatever make it 20 pages minimum']
"['26/10/16, 20:38']",['- Fruit'],"["": U didn't send me the 14 pages documentation""]"
"['26/10/16, 20:39']",['- Jagannath'],[': check mail']
"['26/10/16, 20:40']",['- Fruit'],[': Only screenshots and mini project are there in mail baap']
"['26/10/16, 20:40']",['- Jagannath'],[': i just shared it with you']
"['26/10/16, 20:40']",['- Jagannath'],[': check in updates tab']
"['26/10/16, 20:40']",['- Jagannath'],[': 20190603045']
"['26/10/16, 20:40']",['- Jagannath'],[': https://docs.google.com/document/d/1T9cNEx-FSiCE1LCt1ZJLta8Q70c6uFFl0y3FyJh80cI/edit?usp=sharing']
"['26/10/16, 20:40']",['- Jagannath'],[': ^']
"['26/10/16, 20:40']",['- Fruit'],[': Just now got it']
"['26/10/16, 20:40']",['- Jagannath'],[': do it plis']
"['26/10/16, 20:40']",['- Jagannath'],[': when will you go for spiral binding then']
"['26/10/16, 20:41']",['- Fruit'],[': Okay no worries']
"['26/10/16, 20:41']",['- Fruit'],[': I will go 9 : 15']
"['26/10/16, 20:41']",['- Jagannath'],[': open untada?']
"['26/10/16, 20:41']",['- Fruit'],[': Near my house they will be open till 10:30']
"['26/10/16, 20:41']",['- Jagannath'],[': okay cool']
"['26/10/16, 22:11']",['- Jagannath'],[': Over?']
"['26/10/16, 22:11']",['- Jagannath'],[': Kishan car vachndi']
"['26/10/16, 22:21']",['- Fruit'],[': Ya I know']
"['26/10/16, 22:21']",['- Jagannath'],[': Done spiral binding?']
"['26/10/16, 22:21']",['- Fruit'],[': Yooo']
"['26/10/16, 22:21']",['- Jagannath'],[': Sett life']
"['26/10/16, 22:21']",['- Jagannath'],[': How many pages total?']
"['26/10/16, 22:21']",['- Fruit'],[': 19 page']
"['26/10/16, 22:22']",['- Jagannath'],[': Enough']
"['28/10/16, 22:21']",['- Jagannath'],[': Bro']
"['28/10/16, 22:28']",['- Fruit'],[': Yo']
"['28/10/16, 22:28']",['- Jagannath'],[': Sup']
"['28/10/16, 22:28']",['- Fruit'],[': Am in movie']
"['28/10/16, 22:28']",['- Jagannath'],[': Ok enjoy']
"['28/10/16, 22:28']",['- Fruit'],[': U?']
"['28/10/16, 22:28']",['- Jagannath'],[': Just texting']
"['29/10/16, 17:33']",['- Fruit'],[': Em batting??']
"['29/10/16, 17:45']",['- Jagannath'],[': \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b\xf0\x9f\x98\x8b\xf0\x9f\x98\x8b']
"['29/10/16, 17:47']",['- Fruit'],[': Aa expression endi ra daridruda']
"['29/10/16, 18:08']",['- Jagannath'],[': \xf0\x9f\x98\x98\xf0\x9f\x98\x98']
"['29/10/16, 18:13']",['- Fruit'],[': Ante??']
"['29/10/16, 18:13']",['- Jagannath'],[': \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb']
"['29/10/16, 18:19']",['- Fruit'],[': Ehe']
"['29/10/16, 18:20']",['- Fruit'],[': Nu ankunatu em ledu']
"['29/10/16, 18:20']",['- Fruit'],[': ?']
"['29/10/16, 18:31']",['- Jagannath'],[': K']
"['29/10/16, 18:42']",['- Fruit'],[': K aa']
"['29/10/16, 18:42']",['- Fruit'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['30/10/16, 19:31']",['- Fruit'],[': Broo']
"['30/10/16, 19:31']",['- Fruit'],[': Night tankbund']
"['30/10/16, 19:31']",['- Fruit'],[': Pics we will take']
"['30/10/16, 19:32']",['- Jagannath'],[': its raining ra']
"['30/10/16, 19:32']",['- Jagannath'],[': mama']
"['30/10/16, 19:32']",['- Jagannath'],[': things got fucked']
"['30/10/16, 19:33']",['- Fruit'],[': What raining??']
"['30/10/16, 19:33']",['- Fruit'],[': No it is not']
"['30/10/16, 19:33']",['- Jagannath'],[': raining here']
"['30/10/16, 19:33']",['- Fruit'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['30/10/16, 19:33']",['- Fruit'],[': Crazy \xc3\xa0aa']
"['30/10/16, 22:49']",['- Fruit'],[': <Media omitted>']
"['30/10/16, 22:49']",['- Fruit'],[': <Media omitted>']
"['30/10/16, 22:49']",['- Fruit'],[': I got tri pod also']
"['30/10/16, 22:49']",['- Fruit'],[': My old cannon webcam ka tripod']
"['30/10/16, 22:49']",['- Fruit'],[': Perfect ga fit aindi']
"['30/10/16, 22:59']",['- Jagannath'],[': Sett']
"['30/10/16, 23:02']",['- Fruit'],[': Manchiga ga ne ochai le']
"['31/10/16, 07:18']",['- Jagannath'],[': Send photos']
"['31/10/16, 07:23']",['- Fruit'],[': Colg unda?']
"['31/10/16, 07:31']",['- Jagannath'],[': Up']
"['31/10/16, 07:35']",['- Fruit'],[': \xe2\x98\xb9\xe2\x98\xb9\xe2\x98\xb9']
"['31/10/16, 20:20']",['- Fruit'],[': Jagguu']
"['31/10/16, 20:20']",['- Fruit'],[': Broo']
"['31/10/16, 20:20']",['- Fruit'],[': Ppt ?']
"['01/11/16, 21:19']",['- Fruit'],[': Sup??']
"['02/11/16, 01:03']",['- Jagannath'],[': Bro']
"['02/11/16, 01:10']",['- Fruit'],[': Yo']
"['02/11/16, 01:10']",['- Jagannath'],"["": Didn't sleep?""]"
"['02/11/16, 01:12']",['- Fruit'],[': Inka evar padkole intlo']
"['02/11/16, 01:13']",['- Fruit'],[': Edo matladtuntu kurchunam']
"['02/11/16, 01:13']",['- Fruit'],[': Andaram']
"['02/11/16, 01:13']",['- Jagannath'],[': Oh marriage hadavidi']
"['02/11/16, 01:13']",['- Jagannath'],[': Nice']
"['02/11/16, 01:13']",['- Jagannath'],[': Love this fam times']
"['02/11/16, 01:15']",['- Fruit'],[': Yaa']
"['02/11/16, 01:15']",['- Fruit'],[': U ?!']
"['02/11/16, 01:15']",['- Fruit'],[': Sup?!']
"['02/11/16, 01:15']",['- Jagannath'],[': Just woke up']
"['02/11/16, 01:15']",['- Jagannath'],"["": To realise I'm fucked up""]"
"['02/11/16, 01:15']",['- Fruit'],[': Y??']
"['02/11/16, 01:15']",['- Fruit'],[': Y!?']
"['02/11/16, 01:16']",['- Jagannath'],[': Not able to read anything']
"['02/11/16, 01:16']",['- Jagannath'],[': Asal ekatedu']
"['02/11/16, 01:16']",['- Fruit'],[': Y??']
"['02/11/16, 01:16']",['- Fruit'],[': Nen jus 11:30 ki intiki ocha']
"['02/11/16, 01:16']",['- Jagannath'],[': Dono baap']
"['02/11/16, 01:16']",['- Fruit'],[': Y??']
"['02/11/16, 01:16']",['- Jagannath'],[': Tried so hard']
"['02/11/16, 01:16']",['- Jagannath'],[': Got pissed and slept off at 9 only.']
"['02/11/16, 01:17']",['- Fruit'],[': Hmm']
"['02/11/16, 01:17']",['- Jagannath'],"["": I'm scared""]"
"['02/11/16, 01:17']",['- Fruit'],[': Scared is nice']
"['02/11/16, 01:17']",['- Jagannath'],[': I met Tejaswi today']
"['02/11/16, 01:17']",['- Fruit'],[': Hmm']
"['02/11/16, 01:18']",['- Jagannath'],"[': She was like, nek enti you scored well in mids. I tracked all your makes ani']"
"['02/11/16, 01:18']",['- Jagannath'],[': I was like \xf0\x9f\x98\xb6']
"['02/11/16, 01:18']",['- Fruit'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['02/11/16, 01:18']",['- Fruit'],[': Fans aa']
"['02/11/16, 01:19']",['- Jagannath'],"["": She's such a nice girl baap""]"
"['02/11/16, 01:19']",['- Jagannath'],"["": If only she wasn't a Reddy \xf0\x9f\x98\x82\xf0\x9f\x98\x82""]"
"['02/11/16, 01:19']",['- Fruit'],[': Haha']
"['02/11/16, 01:19']",['- Fruit'],[': Ya she is nice']
"['02/11/16, 01:19']",['- Fruit'],[': Reddy so what']
"['02/11/16, 01:20']",['- Jagannath'],"["": Nakko re Reddy's""]"
"['02/11/16, 01:20']",['- Fruit'],[': Y rey??']
"['02/11/16, 01:20']",['- Jagannath'],[': All fam issues afterwards \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['02/11/16, 01:21']",['- Fruit'],[': No probs after almost 5-6 yrs ppl attitude change']
"['02/11/16, 01:21']",['- Fruit'],[': So they will accept']
"['02/11/16, 01:21']",['- Jagannath'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['02/11/16, 01:22']",['- Fruit'],[': I went to her house once']
"['02/11/16, 01:22']",['- Fruit'],[': Like from out only though']
"['02/11/16, 01:22']",['- Jagannath'],[': Oho']
"['02/11/16, 01:23']",['- Fruit'],[': Very near to mine']
"['02/11/16, 01:23']",['- Jagannath'],[': Acha I see']
"['02/11/16, 01:23']",['- Fruit'],[': Hmm']
"['02/11/16, 01:24']",['- Fruit'],[': Today I went to Nityas place studying']
"['02/11/16, 01:24']",['- Fruit'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['02/11/16, 01:24']",['- Jagannath'],[': Oh nice']
"['02/11/16, 01:24']",['- Jagannath'],[': What did you study']
"['02/11/16, 01:24']",['- Fruit'],[': Siddarth to full adukuna']
"['02/11/16, 01:24']",['- Fruit'],[': Ds']
"['02/11/16, 01:24']",['- Jagannath'],[': She wants to be in publicity anta']
"['02/11/16, 01:24']",['- Jagannath'],[': \xf0\x9f\x98\x82']
"['02/11/16, 01:25']",['- Fruit'],[': I only told to ask you']
"['02/11/16, 01:25']",['- Jagannath'],[': Anukuna']
"['02/11/16, 01:25']",['- Jagannath'],[': \xf0\x9f\x98\x9c']
"['02/11/16, 01:25']",['- Fruit'],[': Hehe']
"['02/11/16, 01:25']",['- Fruit'],[': Siddarth asal that guy he talks to her daily anta']
"['02/11/16, 01:26']",['- Jagannath'],[': Wtf \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['02/11/16, 01:26']",['- Jagannath'],[': Line maara topper']
"['02/11/16, 01:26']",['- Fruit'],[': Nen koncham adkuna']
"['02/11/16, 01:26']",['- Fruit'],[': Vadito']
"['02/11/16, 01:26']",['- Jagannath'],[': Lol only']
"['02/11/16, 01:26']",['- Fruit'],[': He was concerned abt her marks']
"['02/11/16, 01:26']",['- Fruit'],[': He asked kab padti tu ani']
"['02/11/16, 01:27']",['- Fruit'],[': So I took her phone']
"['02/11/16, 01:27']",['- Fruit'],[': I msgd tu mere liye padlena plis']
"['02/11/16, 01:27']",['- Fruit'],[': He is like ya padta']
"['02/11/16, 01:28']",['- Fruit'],[': Mere exam ke paper me lik Na re Sid ani msg chesa']
"['02/11/16, 01:28']",['- Fruit'],[': He is like Abhi thoda mushkil he par me 10 me crush ko likha tha ek bar']
"['02/11/16, 01:28']",['- Fruit'],[': Anta vadu']
